user_id,signup_date
u0022297,2019-06-21 15:29:57.677000
u0022298,2019-06-21 17:29:18.698000
u0022299,2019-06-21 20:57:48.868000
u0022300,2019-06-21 22:48:32.393000
u0022301,2019-06-22 01:42:14.754000
u0022302,2019-06-22 02:59:47.198000
u0022303,2019-06-22 09:12:36.424000
u0022304,2019-06-22 14:40:51.289000
u0022305,2019-06-22 18:56:39.888000
u0022306,2019-06-22 23:11:03.648000
u0022307,2019-06-23 00:52:07.554000
u0022308,2019-06-23 04:38:01.816000
u0022309,2019-06-23 08:15:02.060000
u0022310,2019-06-23 15:35:47.462000
u0022311,2019-06-23 17:46:24.784000
u0022312,2019-06-23 22:30:37.969000
u0022313,2019-06-24 01:42:16.784000
u0022314,2019-06-24 04:21:15.961000
u0022315,2019-06-24 10:04:58.335000
u0022316,2019-06-08 17:15:44.091000
u0022317,2019-06-06 10:56:12.001000
u0022318,2019-06-06 13:44:13.814000
u0022319,2019-06-06 19:08:03.699000
u0022320,2019-06-07 06:11:28.622000
u0022321,2019-06-07 11:52:36.482000
u0022322,2019-06-07 16:45:01.006000
u0022323,2019-06-07 20:27:35.874000
u0022324,2019-06-08 03:20:17.840000
u0022325,2019-06-08 11:34:31.247000
u0022326,2019-06-08 13:08:07.092000
u0022327,2019-06-08 17:03:46.060000
u0022328,2019-06-08 19:24:25.025000
u0022329,2019-06-09 04:58:57.094000
u0022330,2019-06-09 07:03:28.308000
u0022331,2019-06-09 10:52:56.664000
u0022332,2019-06-09 14:17:16.242000
u0022333,2019-06-09 16:55:17.643000
u0022334,2019-06-09 19:52:35.394000
u0022335,2019-06-09 22:15:14.498000
u0022336,2019-06-10 04:46:31.833000
u0022337,2019-06-10 08:24:34.603000
u0022338,2019-06-10 11:21:10.854000
u0022339,2019-06-10 13:53:08.025000
u0022340,2019-06-10 16:20:55.575000
u0022341,2019-06-10 18:23:48.064000
u0022342,2019-06-10 21:03:12.441000
u0022343,2019-06-10 23:20:34.418000
u0022344,2019-06-11 02:24:07.567000
u0022345,2019-06-11 07:11:31.277000
u0022346,2019-06-11 09:15:18.493000
u0022347,2019-06-11 12:07:40.058000
u0022348,2019-06-11 15:13:05.421000
u0022349,2019-06-11 17:48:26.665000
u0022350,2019-06-11 21:08:34.640000
u0022351,2019-06-11 22:34:28.109000
u0022352,2019-06-14 09:07:40.303000
u0022353,2019-06-12 02:09:32.581000
u0022354,2019-06-12 11:26:05.799000
u0022355,2019-06-12 16:50:02.936000
u0022356,2019-06-12 20:15:59.497000
u0022357,2019-06-13 00:40:04.884000
u0022358,2019-06-13 04:59:08.971000
u0022359,2019-06-13 12:44:54.473000
u0022360,2019-06-13 19:13:00.745000
u0022361,2019-06-13 20:49:15.206000
u0022362,2019-06-14 00:51:10.390000
u0022363,2019-06-14 14:46:22.876000
u0022364,2019-06-14 17:16:03.984000
u0022365,2019-06-14 19:07:30.694000
u0022366,2019-06-14 22:13:01.199000
u0022367,2019-06-15 01:25:30.635000
u0022368,2019-06-15 04:27:29.242000
u0022369,2019-06-15 11:20:13.264000
u0022370,2019-06-17 00:20:32.627000
u0022371,2019-06-15 15:22:22.342000
u0022372,2019-06-15 20:14:25.600000
u0022373,2019-06-15 23:15:54.599000
u0022374,2019-06-15 23:53:53.963000
u0022375,2019-06-16 04:57:26.293000
u0022376,2019-06-16 11:41:10.912000
u0022377,2019-06-16 15:57:10.301000
u0022378,2019-06-16 21:48:29.643000
u0022379,2019-06-17 02:57:24.682000
u0022380,2019-06-17 05:48:19.370000
u0022381,2019-06-17 10:31:43.637000
u0022382,2019-06-17 14:04:22.167000
u0022383,2019-06-17 14:48:26.624000
u0022384,2019-06-17 17:47:40.530000
u0022385,2019-06-17 19:55:18.006000
u0022386,2019-06-17 21:39:03.723000
u0022387,2019-06-17 23:43:59.812000
u0022388,2019-06-18 03:05:44.216000
u0022389,2019-06-18 06:31:20.484000
u0022390,2019-06-18 15:29:02.352000
u0022391,2019-06-18 16:15:45.778000
u0022392,2019-06-18 19:34:39.250000
u0022393,2019-06-18 21:48:04.145000
u0022394,2019-06-19 00:44:56.734000
u0022395,2019-06-19 03:57:31.674000
u0022396,2019-06-19 07:27:23.005000
u0022397,2019-06-19 13:28:44.463000
u0022398,2019-06-19 15:26:44.805000
u0022399,2019-06-19 20:09:02.130000
u0022400,2019-06-19 21:04:48.133000
u0022401,2019-06-20 00:23:58.287000
u0022402,2019-06-20 03:29:04.859000
u0022403,2019-06-20 07:14:50.634000
u0022404,2019-06-20 12:18:43.429000
u0022405,2019-06-20 16:39:17.233000
u0022406,2019-06-20 21:52:50.658000
u0022407,2019-06-21 00:18:59.294000
u0022408,2019-06-21 03:14:36.908000
u0022409,2019-06-21 08:50:14.049000
u0022410,2019-06-21 11:19:03.670000
u0022411,2019-06-21 13:51:04.367000
u0022412,2019-06-21 16:50:01.119000
u0022413,2019-06-21 18:08:38.776000
u0022414,2019-06-21 20:34:49.532000
u0022415,2019-06-21 23:00:19.615000
u0022416,2019-06-22 02:16:41.150000
u0022417,2019-06-22 08:56:51.529000
u0022418,2019-06-22 14:15:02.892000
u0022419,2019-06-22 16:57:47.504000
u0022420,2019-06-16 20:05:25.537000
u0022421,2019-06-16 22:12:45.403000
u0022422,2019-06-16 23:05:48.180000
u0022423,2019-06-17 01:15:52.922000
u0022424,2019-06-17 07:57:13.931000
u0022425,2019-06-17 14:04:09.520000
u0022426,2019-06-17 17:53:27.031000
u0022427,2019-06-17 19:07:05.240000
u0022428,2019-06-17 21:12:08.976000
u0022429,2019-06-17 23:29:24.267000
u0022430,2019-06-18 02:03:34.555000
u0022431,2019-06-18 04:06:06.917000
u0022432,2019-06-18 04:29:57.294000
u0022433,2019-06-18 11:25:36.712000
u0022434,2019-06-18 15:58:18.074000
u0022435,2019-06-18 18:38:56.586000
u0022436,2019-06-18 22:12:25.254000
u0022437,2019-06-19 00:03:05.603000
u0022438,2019-06-22 20:10:39.118000
u0022439,2019-06-19 06:46:51.410000
u0022440,2019-06-19 13:38:05.903000
u0022441,2019-06-19 15:01:47.123000
u0022442,2019-06-19 17:57:02.131000
u0022443,2019-06-19 18:56:40.763000
u0022444,2019-06-19 21:05:30.644000
u0022445,2019-06-20 03:49:28.594000
u0022446,2019-06-20 13:44:16.031000
u0022447,2019-06-20 16:17:46.850000
u0022448,2019-06-20 18:33:03.655000
u0022449,2019-06-20 23:38:06.005000
u0022450,2019-06-21 02:55:08.230000
u0022451,2019-06-21 09:45:34.783000
u0022452,2019-06-21 13:58:55.771000
u0022453,2019-06-21 18:49:39.514000
u0022454,2019-06-21 19:22:10.003000
u0022455,2019-06-21 21:25:01.551000
u0022456,2019-06-22 02:10:17.669000
u0022457,2019-06-22 05:27:47.527000
u0022458,2019-06-22 10:37:27.335000
u0022459,2019-06-22 13:35:27.153000
u0022460,2019-06-22 16:03:37.210000
u0022461,2019-06-22 17:45:31.580000
u0022462,2019-06-22 21:36:53.256000
u0022463,2019-06-22 23:35:31.568000
u0022464,2019-06-23 04:35:09.066000
u0022465,2019-06-23 09:26:45.087000
u0022466,2019-06-23 15:50:46.771000
u0022467,2019-06-23 18:02:51.654000
u0022468,2019-06-23 19:38:38.363000
u0022469,2019-06-24 01:38:50.375000
u0022470,2019-06-24 05:43:03.107000
u0022471,2019-06-24 12:00:51.815000
